week,country,interest_USDT,interest_bitcoin,interest_crypto,demand_index_raw,demand_index
2026-05-17,Nigeria,72.0,72.0,69.0,71.0,36.84
2026-05-17,South Africa,75.0,33.0,65.0,57.666666666666664,18.27
2026-05-24,Ghana,64.0,65.0,26.0,51.666666666666664,20.0
2026-05-24,Kenya,52.0,35.0,56.0,47.666666666666664,23.68
2026-05-24,Nigeria,90.0,86.0,81.0,85.66666666666667,75.44
2026-05-24,South Africa,86.0,31.0,83.0,66.66666666666667,44.23
2026-05-31,Ghana,60.0,60.0,36.0,52.0,20.77
2026-05-31,Kenya,43.0,43.0,46.0,44.0,16.45
2026-05-31,Nigeria,85.0,100.0,100.0,95.0,100.0
2026-05-31,South Africa,100.0,60.0,65.0,75.0,68.27
2026-06-07,Ghana,60.0,54.0,31.0,48.333333333333336,12.31
2026-06-07,Kenya,51.0,38.0,39.0,42.666666666666664,13.82
2026-06-07,Nigeria,69.0,75.0,68.0,70.66666666666667,35.96
2026-06-07,South Africa,89.0,41.0,52.0,60.666666666666664,26.92
2026-06-14,Ghana,52.0,52.0,44.0,49.333333333333336,14.62
2026-06-14,Kenya,42.0,30.0,35.0,35.666666666666664,0.0
2026-06-14,Nigeria,71.0,75.0,65.0,70.33333333333333,35.09
2026-06-14,South Africa,96.0,33.0,43.0,57.333333333333336,17.31
2026-06-21,Ghana,61.0,48.0,26.0,45.0,4.62
2026-06-21,Kenya,41.0,32.0,37.0,36.666666666666664,1.97
2026-06-21,Nigeria,68.0,71.0,63.0,67.33333333333333,27.19
2026-06-21,South Africa,91.0,33.0,52.0,58.666666666666664,21.15
2026-06-22,Ghana,88.0,75.0,34.0,65.66666666666667,52.31
2026-06-22,Kenya,59.0,42.0,64.0,55.0,38.16
2026-06-22,Nigeria,78.0,81.0,74.0,77.66666666666667,54.39
2026-06-22,South Africa,42.0,44.0,75.0,53.666666666666664,6.73
2026-06-29,Ghana,61.0,77.0,31.0,56.333333333333336,30.77
2026-06-29,Kenya,47.0,44.0,47.0,46.0,20.39
2026-06-29,Nigeria,87.0,83.0,72.0,80.66666666666667,62.28
2026-06-29,South Africa,53.0,42.0,72.0,55.666666666666664,12.5
2026-07-06,Ghana,97.0,94.0,31.0,74.0,71.54
2026-07-06,Kenya,53.0,43.0,49.0,48.333333333333336,25.0
2026-07-06,Nigeria,100.0,92.0,82.0,91.33333333333333,90.35
2026-07-06,South Africa,46.0,59.0,77.0,60.666666666666664,26.92
2026-07-13,Ghana,51.0,76.0,38.0,55.0,27.69
2026-07-13,Kenya,58.0,58.0,53.0,56.333333333333336,40.79
2026-07-13,Nigeria,86.0,89.0,79.0,84.66666666666667,72.81
2026-07-13,South Africa,57.0,62.0,99.0,72.66666666666667,61.54
2026-07-20,Ghana,78.0,86.0,40.0,68.0,57.69
2026-07-20,Kenya,53.0,53.0,67.0,57.666666666666664,43.42
2026-07-20,Nigeria,94.0,82.0,78.0,84.66666666666667,72.81
2026-07-20,South Africa,45.0,55.0,90.0,63.333333333333336,34.62
2026-07-27,Ghana,86.0,66.0,28.0,60.0,39.23
2026-07-27,Kenya,56.0,46.0,49.0,50.333333333333336,28.95
2026-07-27,Nigeria,86.0,83.0,79.0,82.66666666666667,67.54
2026-07-27,South Africa,48.0,50.0,81.0,59.666666666666664,24.04
2026-08-03,Ghana,61.0,84.0,35.0,60.0,39.23
2026-08-03,Kenya,65.0,44.0,53.0,54.0,36.18
2026-08-03,Nigeria,90.0,86.0,80.0,85.33333333333333,74.56
2026-08-03,South Africa,53.0,46.0,84.0,61.0,27.88
2026-08-10,Ghana,61.0,70.0,34.0,55.0,27.69
2026-08-10,Kenya,53.0,60.0,69.0,60.666666666666664,49.34
2026-08-10,Nigeria,85.0,79.0,76.0,80.0,60.53
2026-08-10,South Africa,47.0,48.0,86.0,60.333333333333336,25.96
2026-08-17,Ghana,61.0,78.0,34.0,57.666666666666664,33.85
2026-08-17,Kenya,51.0,36.0,53.0,46.666666666666664,21.71
2026-08-17,Nigeria,81.0,75.0,73.0,76.33333333333333,50.88
